target,stoploss,target_hits,stoploss_hits,risk_reward_ratio,success_rate
90,10,3,11,9.0,0.21
100,15,3,11,6.67,0.21
95,15,3,11,6.33,0.21
90,15,3,11,6.0,0.21
100,20,3,11,5.0,0.21
95,20,3,11,4.75,0.21
90,20,3,11,4.5,0.21
100,25,3,10,4.0,0.23
95,25,3,10,3.8,0.23
90,25,3,10,3.6,0.23
